source_champion,item_id,item_en,item_zh,window,source_tag,source_file
ezreal,223508,Essence Reaver,奪魄之鐮,7d,aram_d2_plus,ezreal_aram_d2_plus_7d_winning.csv
ezreal,224646,Stormsurge,雷霆風暴,7d,aram_d2_plus,ezreal_aram_d2_plus_7d_winning.csv
ezreal,226672,Kraken Slayer,海妖殺手,7d,aram_d2_plus,ezreal_aram_d2_plus_7d_winning.csv
ezreal,226696,Axiom Arc,公理弧刃,7d,aram_d2_plus,ezreal_aram_d2_plus_7d_winning.csv
lux,2503,Blackfire Torch,黑焰火炬,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,6653,Liandry's Torment,黎安卓的折磨,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,8010,Bloodletter's Curse,血書詛咒,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,223100,Lich Bane,巫妖之禍,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,223102,Banshee's Veil,女妖面紗,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,223137,Cryptbloom,死墓之花,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,223165,Morellonomicon,黑魔禁書,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,224629,Cosmic Drive,星河馳騁,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,323003,Archangel's Staff,大天使之杖,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,323107,Redemption,贖罪神石,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,323504,Ardent Censer,熾灼魔器,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,324005,Imperial Mandate,帝王命令,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,326616,Staff of Flowing Water,流水之杖,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,326617,Moonstone Renewer,月之石再生裝置,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
lux,326621,Dawncore,破曉之核,7d,aram_d2_plus,lux_aram_d2_plus_7d_winning.csv
