source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,280,42.14,2.75,223078,323004,223161,226694,223153,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Blade of The Ruined King,三相之力,魔劍正宗,精進之矛,席利妲咒怨,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,267,49.81,2.62,223078,323004,223161,226694,223072,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Bloodthirster,三相之力,魔劍正宗,精進之矛,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,93,56.99,0.91,223078,323004,223161,226694,223156,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Maw of Malmortius,三相之力,魔劍正宗,精進之矛,席利妲咒怨,魔提斯深淵
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,73,42.47,0.72,223078,323004,226694,223161,223153,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Blade of The Ruined King,三相之力,魔劍正宗,席利妲咒怨,精進之矛,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,67,44.78,0.66,223078,323004,223161,226694,223074,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Ravenous Hydra,三相之力,魔劍正宗,精進之矛,席利妲咒怨,狂怒九頭蛇
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,59,52.54,0.58,223078,323004,226694,223161,223072,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Bloodthirster,三相之力,魔劍正宗,席利妲咒怨,精進之矛,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,55,47.27,0.54,223078,323004,223161,223072,226694,Trinity Force,Manamune,Spear of Shojin,Bloodthirster,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,嗜血者,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,47,40.43,0.46,223078,323004,226694,223153,223161,Trinity Force,Manamune,Serylda's Grudge,Blade of The Ruined King,Spear of Shojin,三相之力,魔劍正宗,席利妲咒怨,殞落王者之劍,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,46,45.65,0.45,223078,323004,223161,223153,226694,Trinity Force,Manamune,Spear of Shojin,Blade of The Ruined King,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,殞落王者之劍,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,37,48.65,0.36,223078,323004,223161,226694,667666,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,The Collector,三相之力,魔劍正宗,精進之矛,席利妲咒怨,蒐集者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,33,51.52,0.32,223078,323004,223161,226694,223139,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Mercurial Scimitar,三相之力,魔劍正宗,精進之矛,席利妲咒怨,水星彎刀
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,30,43.33,0.29,223078,323004,223153,226694,223161,Trinity Force,Manamune,Blade of The Ruined King,Serylda's Grudge,Spear of Shojin,三相之力,魔劍正宗,殞落王者之劍,席利妲咒怨,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,27,66.67,0.26,223078,323004,223153,223161,226694,Trinity Force,Manamune,Blade of The Ruined King,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,殞落王者之劍,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,27,48.15,0.26,223078,323004,226694,223161,223074,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Ravenous Hydra,三相之力,魔劍正宗,席利妲咒怨,精進之矛,狂怒九頭蛇
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,24,37.5,0.24,223078,323004,223072,223161,226694,Trinity Force,Manamune,Bloodthirster,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,嗜血者,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,24,41.67,0.24,323004,223078,223161,226694,223153,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,Blade of The Ruined King,魔劍正宗,三相之力,精進之矛,席利妲咒怨,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,21,52.38,0.21,223078,323004,226694,223161,223156,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Maw of Malmortius,三相之力,魔劍正宗,席利妲咒怨,精進之矛,魔提斯深淵
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,20,50.0,0.2,223078,323004,223161,226694,323110,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Frozen Heart,三相之力,魔劍正宗,精進之矛,席利妲咒怨,冰霜之心
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,18,44.44,0.18,223078,323004,223161,667666,226694,Trinity Force,Manamune,Spear of Shojin,The Collector,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,蒐集者,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,17,52.94,0.17,223078,323004,223161,223074,226694,Trinity Force,Manamune,Spear of Shojin,Ravenous Hydra,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,狂怒九頭蛇,席利妲咒怨
