source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,49,32.65,0.72,226655,224646,224645,223089,223135,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Void Staff,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,31,41.94,0.46,223118,224646,224645,223089,223135,Malignance,Stormsurge,Shadowflame,Rabadon's Deathcap,Void Staff,惡意,雷霆風暴,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,22,59.09,0.33,226655,224646,223089,224645,223135,Luden's Companion,Stormsurge,Rabadon's Deathcap,Shadowflame,Void Staff,盧登之伴,雷霆風暴,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,19,57.89,0.28,226655,224646,224645,223089,224628,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Horizon Focus,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,16,62.5,0.24,223118,226655,224646,224645,223089,Malignance,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,惡意,盧登之伴,雷霆風暴,黯影之炎,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,73.33,0.22,223118,224646,223089,224645,223135,Malignance,Stormsurge,Rabadon's Deathcap,Shadowflame,Void Staff,惡意,雷霆風暴,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,26.67,0.22,226655,224645,224646,223089,223135,Luden's Companion,Shadowflame,Stormsurge,Rabadon's Deathcap,Void Staff,盧登之伴,黯影之炎,雷霆風暴,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,40.0,0.22,226655,224645,223089,223135,224628,Luden's Companion,Shadowflame,Rabadon's Deathcap,Void Staff,Horizon Focus,盧登之伴,黯影之炎,死亡之帽,虛空之杖,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,40.0,0.22,226655,224646,224645,223135,223089,Luden's Companion,Stormsurge,Shadowflame,Void Staff,Rabadon's Deathcap,盧登之伴,雷霆風暴,黯影之炎,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,60.0,0.22,226655,224646,224645,224628,223089,Luden's Companion,Stormsurge,Shadowflame,Horizon Focus,Rabadon's Deathcap,盧登之伴,雷霆風暴,黯影之炎,視界專注,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,14,42.86,0.21,223118,224628,224645,223089,223135,Malignance,Horizon Focus,Shadowflame,Rabadon's Deathcap,Void Staff,惡意,視界專注,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,13,61.54,0.19,226655,224645,224628,223089,223135,Luden's Companion,Shadowflame,Horizon Focus,Rabadon's Deathcap,Void Staff,盧登之伴,黯影之炎,視界專注,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,12,58.33,0.18,226655,224646,224645,223089,223157,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Zhonya's Hourglass,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,中婭沙漏
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,27.27,0.16,223118,224646,224645,223089,224628,Malignance,Stormsurge,Shadowflame,Rabadon's Deathcap,Horizon Focus,惡意,雷霆風暴,黯影之炎,死亡之帽,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,54.55,0.16,223118,224646,224645,223135,223089,Malignance,Stormsurge,Shadowflame,Void Staff,Rabadon's Deathcap,惡意,雷霆風暴,黯影之炎,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,10,30.0,0.15,223118,224628,223089,223135,224645,Malignance,Horizon Focus,Rabadon's Deathcap,Void Staff,Shadowflame,惡意,視界專注,死亡之帽,虛空之杖,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,44.44,0.13,223118,224645,223089,223135,224628,Malignance,Shadowflame,Rabadon's Deathcap,Void Staff,Horizon Focus,惡意,黯影之炎,死亡之帽,虛空之杖,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,66.67,0.13,226655,224645,223089,224628,224646,Luden's Companion,Shadowflame,Rabadon's Deathcap,Horizon Focus,Stormsurge,盧登之伴,黯影之炎,死亡之帽,視界專注,雷霆風暴
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,8,75.0,0.12,226655,224645,223089,224628,223135,Luden's Companion,Shadowflame,Rabadon's Deathcap,Horizon Focus,Void Staff,盧登之伴,黯影之炎,死亡之帽,視界專注,虛空之杖
