source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223153,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Blade of The Ruined King,三相之力,魔劍正宗,精進之矛,席利妲咒怨,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223072,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Bloodthirster,三相之力,魔劍正宗,精進之矛,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223156,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Maw of Malmortius,三相之力,魔劍正宗,精進之矛,席利妲咒怨,魔提斯深淵
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223074,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Ravenous Hydra,三相之力,魔劍正宗,精進之矛,席利妲咒怨,狂怒九頭蛇
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,223072,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Bloodthirster,三相之力,魔劍正宗,席利妲咒怨,精進之矛,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223072,226694,Trinity Force,Manamune,Spear of Shojin,Bloodthirster,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,嗜血者,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223153,226694,Trinity Force,Manamune,Spear of Shojin,Blade of The Ruined King,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,殞落王者之劍,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,223153,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Blade of The Ruined King,三相之力,魔劍正宗,席利妲咒怨,精進之矛,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223153,223161,Trinity Force,Manamune,Serylda's Grudge,Blade of The Ruined King,Spear of Shojin,三相之力,魔劍正宗,席利妲咒怨,殞落王者之劍,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,667666,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,The Collector,三相之力,魔劍正宗,精進之矛,席利妲咒怨,蒐集者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,323110,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Frozen Heart,三相之力,魔劍正宗,精進之矛,席利妲咒怨,冰霜之心
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223156,226694,Trinity Force,Manamune,Spear of Shojin,Maw of Malmortius,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,魔提斯深淵,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,223139,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Mercurial Scimitar,三相之力,魔劍正宗,精進之矛,席利妲咒怨,水星彎刀
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223153,226694,223161,Trinity Force,Manamune,Blade of The Ruined King,Serylda's Grudge,Spear of Shojin,三相之力,魔劍正宗,殞落王者之劍,席利妲咒怨,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,226609,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Chempunk Chainsword,三相之力,魔劍正宗,精進之矛,席利妲咒怨,生化龐克鏈鋸之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,323004,223078,223161,226694,223153,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,Blade of The Ruined King,魔劍正宗,三相之力,精進之矛,席利妲咒怨,殞落王者之劍
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223072,223161,226694,Trinity Force,Manamune,Bloodthirster,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,嗜血者,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,226694,226695,Trinity Force,Manamune,Spear of Shojin,Serylda's Grudge,Serpent's Fang,三相之力,魔劍正宗,精進之矛,席利妲咒怨,巨蛇鋒牙
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223153,223161,226694,Trinity Force,Manamune,Blade of The Ruined King,Spear of Shojin,Serylda's Grudge,三相之力,魔劍正宗,殞落王者之劍,精進之矛,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,223074,226694,Trinity Force,Manamune,Spear of Shojin,Ravenous Hydra,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,狂怒九頭蛇,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,223161,667666,226694,Trinity Force,Manamune,Spear of Shojin,The Collector,Serylda's Grudge,三相之力,魔劍正宗,精進之矛,蒐集者,席利妲咒怨
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,323004,223078,223161,226694,223072,Manamune,Trinity Force,Spear of Shojin,Serylda's Grudge,Bloodthirster,魔劍正宗,三相之力,精進之矛,席利妲咒怨,嗜血者
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223072,223161,Trinity Force,Manamune,Serylda's Grudge,Bloodthirster,Spear of Shojin,三相之力,魔劍正宗,席利妲咒怨,嗜血者,精進之矛
ezreal_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,ezreal,ezreal,ezreal,,,,223078,323004,226694,223161,223156,Trinity Force,Manamune,Serylda's Grudge,Spear of Shojin,Maw of Malmortius,三相之力,魔劍正宗,席利妲咒怨,精進之矛,魔提斯深淵
