source_file,window,source_tag,source_mode,source_tier,source_champion,champion,champion_slug,games,winrate,pickrate,item_id1,item_id2,item_id3,item_id4,item_id5,item_en1,item_en2,item_en3,item_en4,item_en5,item_zh1,item_zh2,item_zh3,item_zh4,item_zh5
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,43,0.3953,0.0067,226655,224646,224645,223089,223135,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Void Staff,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,28,0.4286,0.0044,223118,224646,224645,223089,223135,Malignance,Stormsurge,Shadowflame,Rabadon's Deathcap,Void Staff,惡意,雷霆風暴,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,22,0.5455,0.0034000000000000002,226655,224646,224645,223089,224628,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,Horizon Focus,盧登之伴,雷霆風暴,黯影之炎,死亡之帽,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,18,0.5,0.0028000000000000004,226655,224646,224645,223135,223089,Luden's Companion,Stormsurge,Shadowflame,Void Staff,Rabadon's Deathcap,盧登之伴,雷霆風暴,黯影之炎,虛空之杖,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,17,0.2353,0.0026,226655,224646,223089,224645,223135,Luden's Companion,Stormsurge,Rabadon's Deathcap,Shadowflame,Void Staff,盧登之伴,雷霆風暴,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,0.7333,0.0023,226655,224646,223089,223135,224645,Luden's Companion,Stormsurge,Rabadon's Deathcap,Void Staff,Shadowflame,盧登之伴,雷霆風暴,死亡之帽,虛空之杖,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,15,0.4,0.0023,226655,224645,223089,223135,224628,Luden's Companion,Shadowflame,Rabadon's Deathcap,Void Staff,Horizon Focus,盧登之伴,黯影之炎,死亡之帽,虛空之杖,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,14,0.8571,0.0022,223118,224646,223089,224645,223135,Malignance,Stormsurge,Rabadon's Deathcap,Shadowflame,Void Staff,惡意,雷霆風暴,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,13,0.3077,0.002,223118,224628,223089,224645,223135,Malignance,Horizon Focus,Rabadon's Deathcap,Shadowflame,Void Staff,惡意,視界專注,死亡之帽,黯影之炎,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,12,0.4167,0.0019,226655,224645,224628,223089,223135,Luden's Companion,Shadowflame,Horizon Focus,Rabadon's Deathcap,Void Staff,盧登之伴,黯影之炎,視界專注,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,12,0.4167,0.0019,226655,224645,223089,223135,223157,Luden's Companion,Shadowflame,Rabadon's Deathcap,Void Staff,Zhonya's Hourglass,盧登之伴,黯影之炎,死亡之帽,虛空之杖,中婭沙漏
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,0.3636,0.0017000000000000001,223118,226655,224646,224645,223089,Malignance,Luden's Companion,Stormsurge,Shadowflame,Rabadon's Deathcap,惡意,盧登之伴,雷霆風暴,黯影之炎,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,0.5455,0.0017000000000000001,223118,224628,224645,223089,223135,Malignance,Horizon Focus,Shadowflame,Rabadon's Deathcap,Void Staff,惡意,視界專注,黯影之炎,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,0.5455,0.0017000000000000001,226655,224645,223089,224628,223135,Luden's Companion,Shadowflame,Rabadon's Deathcap,Horizon Focus,Void Staff,盧登之伴,黯影之炎,死亡之帽,視界專注,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,0.2727,0.0017000000000000001,226655,224646,224645,224628,223089,Luden's Companion,Stormsurge,Shadowflame,Horizon Focus,Rabadon's Deathcap,盧登之伴,雷霆風暴,黯影之炎,視界專注,死亡之帽
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,11,0.4545,0.0017000000000000001,226655,224646,223089,224645,224628,Luden's Companion,Stormsurge,Rabadon's Deathcap,Shadowflame,Horizon Focus,盧登之伴,雷霆風暴,死亡之帽,黯影之炎,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,10,0.4,0.0016,226655,224645,223089,223135,224646,Luden's Companion,Shadowflame,Rabadon's Deathcap,Void Staff,Stormsurge,盧登之伴,黯影之炎,死亡之帽,虛空之杖,雷霆風暴
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,10,0.4,0.0016,223118,224646,224645,223089,224628,Malignance,Stormsurge,Shadowflame,Rabadon's Deathcap,Horizon Focus,惡意,雷霆風暴,黯影之炎,死亡之帽,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.5556,0.0014000000000000002,223118,224645,223089,223135,224628,Malignance,Shadowflame,Rabadon's Deathcap,Void Staff,Horizon Focus,惡意,黯影之炎,死亡之帽,虛空之杖,視界專注
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.7778,0.0014000000000000002,226655,224645,223089,224646,223135,Luden's Companion,Shadowflame,Rabadon's Deathcap,Stormsurge,Void Staff,盧登之伴,黯影之炎,死亡之帽,雷霆風暴,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.3333,0.0014000000000000002,226655,224645,224646,223089,223135,Luden's Companion,Shadowflame,Stormsurge,Rabadon's Deathcap,Void Staff,盧登之伴,黯影之炎,雷霆風暴,死亡之帽,虛空之杖
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.3333,0.0014000000000000002,226655,224646,224628,223089,224645,Luden's Companion,Stormsurge,Horizon Focus,Rabadon's Deathcap,Shadowflame,盧登之伴,雷霆風暴,視界專注,死亡之帽,黯影之炎
lux_aram_d2_plus_7d_sets.csv,7d,aram_d2_plus,aram,d2_plus,lux,lux,lux,9,0.5556,0.0014000000000000002,223118,224646,223089,223135,224645,Malignance,Stormsurge,Rabadon's Deathcap,Void Staff,Shadowflame,惡意,雷霆風暴,死亡之帽,虛空之杖,黯影之炎
