source_file,window,source_tag,source_mode,source_tier,source_champion,item_id,item_en,item_zh,games,winrate,pickrate
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,6653,Liandry's Torment,黎安卓的折磨,0,0.4417,0.076
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223089,Rabadon's Deathcap,死亡之帽,0,0.5218,0.5066
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223102,Banshee's Veil,女妖面紗,0,0.5031,0.0253
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223118,Malignance,惡意,0,0.5151,0.464
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223135,Void Staff,虛空之杖,0,0.4563,0.2385
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223137,Cryptbloom,死墓之花,0,0.5117,0.0465
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223157,Zhonya's Hourglass,中婭沙漏,0,0.4663,0.0624
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,223165,Morellonomicon,黑魔禁書,0,0.4234,0.0426
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224628,Horizon Focus,視界專注,0,0.5034,0.299
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224629,Cosmic Drive,星河馳騁,0,0.5556,0.007
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224645,Shadowflame,黯影之炎,0,0.4925,0.6036
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,224646,Stormsurge,雷霆風暴,0,0.5097,0.489
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,226655,Luden's Companion,盧登之伴,0,0.5145,0.6383
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323003,Archangel's Staff,大天使之杖,0,0.4988,0.0627
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323107,Redemption,贖罪神石,0,0.5714,0.0033
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,323504,Ardent Censer,熾灼魔器,0,0.5263,0.003
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,324005,Imperial Mandate,帝王命令,0,0.4091,0.0034
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326616,Staff of Flowing Water,流水之杖,0,0.6522,0.0036
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326617,Moonstone Renewer,月之石再生裝置,0,0.6154,0.0061
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326620,Echoes of Helia,希利亞的迴響,0,0.6154,0.004
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,326621,Dawncore,破曉之核,0,0.625,0.0037
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,,,,0,0.4924,0.0512
lux_aram_d2_plus_7d_winning.csv,7d,aram_d2_plus,aram,d2_plus,lux,,,,0,0.4359,0.0061
