items,items_img,set_win_rate,set_pick_rate,set_sample_size
126697|魔劍正宗|蒐集者|席利妲咒怨|夜色緣界,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp,51.19,0.89,84
126697|蒐集者|魔劍正宗|席利妲咒怨|夜色緣界,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp,46.97,0.7,66
126697|魔劍正宗|席利妲咒怨|蒐集者|夜色緣界,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3814.webp,58.06,0.66,62
126697|魔劍正宗|席利妲咒怨|夜色緣界|機會,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6701.webp,56.14,0.61,57
126697|魔劍正宗|蒐集者|夜色緣界|席利妲咒怨,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6694.webp,55.77,0.55,52
126697|魔劍正宗|席利妲咒怨|夜色緣界|蒐集者,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6676.webp,49.02,0.54,51
126697|魔劍正宗|席利妲咒怨|夜色緣界|巨蛇鋒牙,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6695.webp,69.44,0.38,36
殞落王者之劍|鬼索的狂暴之刃|智慧末刃|臨界點|千變萬化之賈克修,https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/3124.webp|https://cdn5.lolalytics.com/item64/3091.webp|https://cdn5.lolalytics.com/item64/3302.webp|https://cdn5.lolalytics.com/item64/6665.webp,45.45,0.35,33
126697|魔劍正宗|席利妲咒怨|夜色緣界|妖夢鬼刀,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/3142.webp,59.38,0.34,32
126697|蒐集者|魔劍正宗|夜色緣界|席利妲咒怨,https://cdn5.lolalytics.com/item64/126697.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3814.webp|https://cdn5.lolalytics.com/item64/6694.webp,50.0,0.32,30
