items,items_img,set_win_rate,set_pick_rate,set_sample_size
盧登之伴|雷霆風暴|黯影之炎|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,45.16,0.44,31
盧登之伴|雷霆風暴|黯影之炎|死亡之帽|中婭沙漏,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3157.webp,25.0,0.28,20
盧登之伴|雷霆風暴|黯影之炎|死亡之帽|女妖面紗,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3102.webp,66.67,0.25,18
惡意|黯影之炎|死亡之帽|中婭沙漏|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3157.webp|https://cdn5.lolalytics.com/item64/3135.webp,23.53,0.24,17
盧登之伴|黯影之炎|雷霆風暴|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,46.15,0.18,13
惡意|黯影之炎|死亡之帽|虛空之杖|中婭沙漏,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3157.webp,38.46,0.18,13
盧登之伴|黯影之炎|死亡之帽|虛空之杖|中婭沙漏,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3157.webp,66.67,0.17,12
盧登之伴|雷霆風暴|黯影之炎|中婭沙漏|死亡之帽,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3157.webp|https://cdn5.lolalytics.com/item64/3089.webp,75.0,0.17,12
惡意|雷霆風暴|黯影之炎|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,33.33,0.17,12
惡意|黯影之炎|雷霆風暴|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,72.73,0.15,11
盧登之伴|雷霆風暴|死亡之帽|黯影之炎|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp,55.56,0.13,9
惡意|雷霆風暴|黯影之炎|死亡之帽|中婭沙漏,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3157.webp,22.22,0.13,9
惡意|黎安卓的折磨|黯影之炎|虛空之杖|死亡之帽,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/6653.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3089.webp,50.0,0.11,8
時光之杖|黎安卓的折磨|峽谷製造者|8010|死亡之帽,https://cdn5.lolalytics.com/item64/6657.webp|https://cdn5.lolalytics.com/item64/6653.webp|https://cdn5.lolalytics.com/item64/4633.webp|https://cdn5.lolalytics.com/item64/8010.webp|https://cdn5.lolalytics.com/item64/3089.webp,50.0,0.11,8
惡意|黯影之炎|死墓之花|死亡之帽|中婭沙漏,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3137.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3157.webp,50.0,0.11,8
惡意|雷霆風暴|黯影之炎|死亡之帽|死墓之花,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3137.webp,75.0,0.11,8
盧登之伴|黯影之炎|死亡之帽|雷霆風暴|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3135.webp,85.71,0.1,7
盧登之伴|雷霆風暴|黯影之炎|虛空之杖|死亡之帽,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3089.webp,57.14,0.1,7
惡意|黯影之炎|死亡之帽|中婭沙漏|女妖面紗,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3157.webp|https://cdn5.lolalytics.com/item64/3102.webp,57.14,0.1,7
