items,items_img,set_win_rate,set_pick_rate,set_sample_size
三相之力|魔劍正宗|精進之矛|席利妲咒怨|殞落王者之劍,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3153.webp,52.36,2.53,254
三相之力|魔劍正宗|精進之矛|席利妲咒怨|嗜血者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3072.webp,50.61,2.46,247
三相之力|魔劍正宗|精進之矛|席利妲咒怨|魔提斯深淵,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3156.webp,63.38,0.71,71
三相之力|魔劍正宗|精進之矛|席利妲咒怨|狂怒九頭蛇,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3074.webp,57.81,0.64,64
三相之力|魔劍正宗|精進之矛|嗜血者|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/6694.webp,51.67,0.6,60
三相之力|魔劍正宗|席利妲咒怨|精進之矛|殞落王者之劍,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3153.webp,36.36,0.55,55
三相之力|魔劍正宗|精進之矛|殞落王者之劍|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/6694.webp,47.17,0.53,53
三相之力|魔劍正宗|席利妲咒怨|精進之矛|嗜血者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3072.webp,47.83,0.46,46
三相之力|魔劍正宗|精進之矛|席利妲咒怨|蒐集者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/6676.webp,40.0,0.4,40
三相之力|魔劍正宗|席利妲咒怨|殞落王者之劍|精進之矛,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/3161.webp,35.9,0.39,39
三相之力|魔劍正宗|精進之矛|席利妲咒怨|水星彎刀,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3139.webp,36.36,0.33,33
三相之力|魔劍正宗|殞落王者之劍|席利妲咒怨|精進之矛,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp,64.29,0.28,28
魔劍正宗|三相之力|精進之矛|席利妲咒怨|殞落王者之劍,https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3153.webp,38.46,0.26,26
三相之力|魔劍正宗|精進之矛|席利妲咒怨|生化龐克鏈鋸之劍,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/6609.webp,33.33,0.24,24
三相之力|魔劍正宗|精進之矛|席利妲咒怨|冰霜之心,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3110.webp,29.17,0.24,24
三相之力|魔劍正宗|精進之矛|蒐集者|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6676.webp|https://cdn5.lolalytics.com/item64/6694.webp,47.83,0.23,23
三相之力|魔劍正宗|精進之矛|魔提斯深淵|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3156.webp|https://cdn5.lolalytics.com/item64/6694.webp,22.73,0.22,22
三相之力|魔劍正宗|嗜血者|精進之矛|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp,57.14,0.21,21
