items,items_img,set_win_rate,set_pick_rate,set_sample_size
三相之力|魔劍正宗|精進之矛|席利妲咒怨|殞落王者之劍,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3153.webp,42.46,2.61,252
三相之力|魔劍正宗|精進之矛|席利妲咒怨|嗜血者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3072.webp,49.79,2.46,237
三相之力|魔劍正宗|精進之矛|席利妲咒怨|魔提斯深淵,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3156.webp,55.0,0.83,80
三相之力|魔劍正宗|精進之矛|席利妲咒怨|狂怒九頭蛇,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3074.webp,51.67,0.62,60
三相之力|魔劍正宗|精進之矛|嗜血者|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/6694.webp,51.79,0.58,56
三相之力|魔劍正宗|席利妲咒怨|精進之矛|殞落王者之劍,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3153.webp,38.46,0.54,52
三相之力|魔劍正宗|席利妲咒怨|精進之矛|嗜血者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3072.webp,52.0,0.52,50
三相之力|魔劍正宗|席利妲咒怨|殞落王者之劍|精進之矛,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/3161.webp,34.78,0.48,46
三相之力|魔劍正宗|精進之矛|殞落王者之劍|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/6694.webp,46.34,0.42,41
三相之力|魔劍正宗|精進之矛|席利妲咒怨|蒐集者,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/6676.webp,48.57,0.36,35
三相之力|魔劍正宗|精進之矛|席利妲咒怨|水星彎刀,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3139.webp,55.17,0.3,29
三相之力|魔劍正宗|殞落王者之劍|席利妲咒怨|精進之矛,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3161.webp,42.86,0.29,28
三相之力|魔劍正宗|精進之矛|魔提斯深淵|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/3156.webp|https://cdn5.lolalytics.com/item64/6694.webp,33.33,0.28,27
三相之力|魔劍正宗|殞落王者之劍|精進之矛|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3153.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp,64.0,0.26,25
三相之力|魔劍正宗|精進之矛|席利妲咒怨|冰霜之心,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp|https://cdn5.lolalytics.com/item64/3110.webp,43.48,0.24,23
三相之力|魔劍正宗|嗜血者|精進之矛|席利妲咒怨,https://cdn5.lolalytics.com/item64/3078.webp|https://cdn5.lolalytics.com/item64/3004.webp|https://cdn5.lolalytics.com/item64/3072.webp|https://cdn5.lolalytics.com/item64/3161.webp|https://cdn5.lolalytics.com/item64/6694.webp,38.1,0.22,21
