items,items_img,set_win_rate,set_pick_rate,set_sample_size
盧登之伴|雷霆風暴|黯影之炎|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,39.53,0.67,43
惡意|雷霆風暴|黯影之炎|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,42.86,0.44,28
盧登之伴|雷霆風暴|黯影之炎|死亡之帽|視界專注,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4628.webp,54.55,0.34,22
盧登之伴|雷霆風暴|黯影之炎|虛空之杖|死亡之帽,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3089.webp,50.0,0.28,18
盧登之伴|雷霆風暴|死亡之帽|黯影之炎|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp,23.53,0.26,17
盧登之伴|雷霆風暴|死亡之帽|虛空之杖|黯影之炎,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/4645.webp,73.33,0.23,15
盧登之伴|黯影之炎|死亡之帽|虛空之杖|視界專注,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/4628.webp,40.0,0.23,15
惡意|雷霆風暴|死亡之帽|黯影之炎|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4646.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp,85.71,0.22,14
惡意|視界專注|死亡之帽|黯影之炎|虛空之杖,https://cdn5.lolalytics.com/item64/3118.webp|https://cdn5.lolalytics.com/item64/4628.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3135.webp,30.77,0.2,13
盧登之伴|黯影之炎|視界專注|死亡之帽|虛空之杖,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/4628.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp,41.67,0.19,12
盧登之伴|黯影之炎|死亡之帽|虛空之杖|中婭沙漏,https://cdn5.lolalytics.com/item64/6655.webp|https://cdn5.lolalytics.com/item64/4645.webp|https://cdn5.lolalytics.com/item64/3089.webp|https://cdn5.lolalytics.com/item64/3135.webp|https://cdn5.lolalytics.com/item64/3157.webp,41.67,0.19,12
