name,win_rate,pick_rate,sample_size
Stop floating,0.01,0.01,0
死亡之帽,0.04,0.5223,0
虛弱,0.75,0.64,0
治癒,1.0,0.64,0
鬼步,0.0,0.32,0
點燃,0.5,0.32,0
清晰,1.0,0.21,0
淨化,0.0,0.21,0
增幅典籍,0.02,0.4815,0
輕魔之靴,1.0,0.32,0
瞬疾步法,0.667,0.16,0
超量治療,0.0,0.01,0
傳奇：敏捷,0.375,0.583,0
致命一擊,0.625,0.18,0
靈魂收割,0.5379999999999999,0.5127700000000001,0
刀鋒之雹,1.0,0.01,0
奧術彗星,0.6151,0.65,0
光輝披風,0.6,0.15,0
迅捷,0.5,0.16,0
不死之握,1.0,0.02,0
裂地衝擊,1.0,0.01,0
神聖守護,0.5,0.02,0
爆破,1.0,0.02,0
生命之泉,0.5,0.02,0
盾擊,1.0,0.01,0
調節,1.0,0.02,0
骨甲,0.667,0.03,0
過度生長,1.0,0.02,0
甦醒,0.5,0.02,0
堅毅,1.0,0.01,0
冰川增幅,0.5,0.02,0
啟封法書,0.0,0.01,0
海克斯充能閃現,0.667,0.03,0
時間扭曲藥水,0.0,0.02,0
士兵去質器,0.556,0.19,0
即刻衝擊,0.6,0.15,0
殘虐獵人,0.556,0.19,0
焦灼,0.5511,0.69,0
回春,0.667,0.19,0
未來市集,0.8,0.15,0
三倍藥水,0.5,0.14,0
斗轉星移,0.33299999999999996,0.03,0
