item_id,en_name,zh_tw_name,tags,ddragon_version
1001,Boots,鞋子,Boots,15.19.1
1004,Faerie Charm,仙女護符,ManaRegen,15.19.1
1006,Rejuvenation Bead,治療寶珠,HealthRegen,15.19.1
1011,Giant's Belt,巨人腰帶,Health,15.19.1
1018,Cloak of Agility,靈巧披風,CriticalStrike,15.19.1
1026,Blasting Wand,爆裂魔杖,SpellDamage,15.19.1
1027,Sapphire Crystal,藍水晶,Mana,15.19.1
1028,Ruby Crystal,紅水晶,Health,15.19.1
1029,Cloth Armor,布甲,Armor,15.19.1
1031,Chain Vest,鎖子甲,Armor,15.19.1
1033,Null-Magic Mantle,抗魔斗篷,SpellBlock,15.19.1
1035,Emberknife,餘燼之刃,"LifeSteal,SpellVamp,Jungle",15.19.1
1036,Long Sword,長劍,"Damage,Lane",15.19.1
1037,Pickaxe,十字鎬,Damage,15.19.1
1038,B. F. Sword,暴風之劍,Damage,15.19.1
1039,Hailblade,雹刃,"LifeSteal,SpellVamp,Jungle",15.19.1
1040,Obsidian Edge,黑曜鋒刃,"LifeSteal,SpellVamp,Jungle",15.19.1
1042,Dagger,短劍,AttackSpeed,15.19.1
1043,Recurve Bow,反曲弓,"AttackSpeed,OnHit",15.19.1
1052,Amplifying Tome,增幅典籍,SpellDamage,15.19.1
1053,Vampiric Scepter,吸血鬼權杖,"Damage,LifeSteal",15.19.1
1054,Doran's Shield,多蘭之盾,"Health,HealthRegen,Lane",15.19.1
1055,Doran's Blade,多蘭之劍,"Health,Damage,SpellVamp,Lane",15.19.1
1056,Doran's Ring,多蘭之戒,"Health,Lane,ManaRegen,SpellDamage",15.19.1
1057,Negatron Cloak,負極斗篷,SpellBlock,15.19.1
1058,Needlessly Large Rod,巨型魔棒,SpellDamage,15.19.1
1082,Dark Seal,黑暗玉璽,"Health,SpellDamage,Lane",15.19.1
1083,Cull,汰除品,"Damage,OnHit,Lane",15.19.1
1101,Scorchclaw Pup,熾爪幼犬,Jungle,15.19.1
1102,Gustwalker Hatchling,馭風幼狐,Jungle,15.19.1
1103,Mosstomper Seedling,重踏幼螈,Jungle,15.19.1
1104,Eye of the Herald,預示者之眼,"Trinket,Active",15.19.1
1105,Mosstomper Seedling,重踏幼螈,Jungle,15.19.1
1106,Gustwalker Hatchling,馭風幼狐,Jungle,15.19.1
1107,Scorchclaw Pup,熾爪幼犬,Jungle,15.19.1
1500,Penetrating Bullets,穿甲彈,"HealthRegen,ManaRegen,OnHit",15.19.1
1501,Fortification,強化堡壘,,15.19.1
1502,Reinforced Armor,武裝強化,"Armor,ManaRegen,OnHit",15.19.1
1503,Warden's Eye,守護之眼,"HealthRegen,ManaRegen,OnHit",15.19.1
1504,Vanguard,先鋒者,"Armor,ManaRegen,OnHit",15.19.1
1506,Reinforced Armor,強化護甲,"Armor,ManaRegen,OnHit",15.19.1
1507,Overcharged,超載,"Armor,ManaRegen,OnHit",15.19.1
1508,Anti-tower Socks,扛塔之襪,"Armor,ManaRegen,OnHit",15.19.1
1509,Gusto,熱血情懷,"Armor,ManaRegen,OnHit",15.19.1
1510,Phreakish Gusto,弗瑞克式的熱血情懷,"Armor,ManaRegen,OnHit",15.19.1
1511,Super Mech Armor,超級士兵裝甲,"Armor,ManaRegen,OnHit",15.19.1
1512,Super Mech Power Field,超級士兵能量力場,"Armor,ManaRegen,OnHit",15.19.1
1515,Turret Plating,防禦塔護甲,Armor,15.19.1
1516,Structure Bounty,建築物賞金,"HealthRegen,ManaRegen,OnHit",15.19.1
1517,Structure Bounty,建築物賞金,"HealthRegen,ManaRegen,OnHit",15.19.1
1518,Structure Bounty,建築物賞金,"HealthRegen,ManaRegen,OnHit",15.19.1
1519,Structure Bounty,建築物賞金,"HealthRegen,ManaRegen,OnHit",15.19.1
1520,OvererchargedHA,咆嘯深淵超載,"Armor,ManaRegen,OnHit",15.19.1
1521,Fortification,強化堡壘,OnHit,15.19.1
1522,Tower Power-Up,強化防禦塔,"Armor,Damage",15.19.1
1523,Overcharged,超載,"Armor,ManaRegen,OnHit",15.19.1
2003,Health Potion,生命藥水,"HealthRegen,Consumable,Lane,Jungle",15.19.1
2010,Total Biscuit of Everlasting Will,活力乾糧,,15.19.1
2015,Kircheis Shard,科奇碎片,"Damage,OnHit",15.19.1
2019,Steel Sigil,鋼鐵紋章,"Armor,Damage",15.19.1
2020,The Brutalizer,兇殘之柄,"Damage,CooldownReduction,ArmorPenetration",15.19.1
2021,Tunneler,鑽掘機,"Health,Damage",15.19.1
2022,Glowing Mote,發光結晶,CooldownReduction,15.19.1
2031,Refillable Potion,回復藥水,"HealthRegen,Consumable,Active,Lane,Jungle",15.19.1
2033,Corrupting Potion,污濁藥劑,"Active,Consumable,HealthRegen,Lane,ManaRegen",15.19.1
2049,Guardian's Amulet,守護者護符,"SpellDamage,ManaRegen,CooldownReduction,Lane,AbilityHaste",15.19.1
2050,Guardian's Shroud,守護者法衣,"Health,SpellDamage,CooldownReduction,Lane,AbilityHaste",15.19.1
2051,Guardian's Horn,保衛者號角,"Health,HealthRegen,Lane",15.19.1
2052,Poro-Snax,普羅的飼料,,15.19.1
2055,Control Ward,控域守衛,"Consumable,Lane,Stealth,Vision",15.19.1
2056,Stealth Ward,潛行守衛,"Consumable,Lane,Stealth,Vision",15.19.1
2065,Shurelya's Battlesong,蘇瑞亞的戰歌,"SpellDamage,ManaRegen,Active,CooldownReduction,NonbootsMovement,AbilityHaste",15.19.1
2138,Elixir of Iron,抗擊藥劑,"Health,Consumable,NonbootsMovement,Tenacity",15.19.1
2139,Elixir of Sorcery,巫魔藥劑,"Consumable,ManaRegen,SpellDamage",15.19.1
2140,Elixir of Wrath,憤怒藥劑,"Consumable,Damage,LifeSteal,SpellVamp",15.19.1
2141,Cappa Juice,帽帽果汁,"Damage,Consumable",15.19.1
2142,Juice of Power,力量果汁,"SpellDamage,Consumable",15.19.1
2143,Juice of Vitality,活力果汁,"Health,Consumable",15.19.1
2144,Juice of Haste,疾速果汁,"Consumable,CooldownReduction",15.19.1
2145,Lucky Dice,幸運骰子,Consumable,15.19.1
2146,Enhanced Lucky Dice,強化幸運骰子,Consumable,15.19.1
2150,Elixir of Skill,精通藥劑,Consumable,15.19.1
2151,Elixir of Avarice,貪婪藥劑,"Health,Consumable,Tenacity",15.19.1
2152,Elixir of Force,力量藥劑,"Consumable,Tenacity",15.19.1
2161,Bandle Juice of Power,班德爾力量果汁,"SpellDamage,Consumable",15.19.1
2162,Bandle Juice of Vitality,班德爾活力果汁,"Health,Consumable",15.19.1
2163,Bandle Juice of Haste,班德爾疾速果汁,"Consumable,CooldownReduction",15.19.1
2403,Minion Dematerializer,士兵去質器,,15.19.1
2420,Seeker's Armguard,探索者護腕,"Armor,SpellDamage,Active",15.19.1
2421,Shattered Armguard,破碎的護腕,,15.19.1
2422,Slightly Magical Footwear,輕魔之靴,Boots,15.19.1
2501,Overlord's Bloodmail,狂霸血甲,"Health,Damage",15.19.1
2502,Unending Despair,無盡絕望,"Health,SpellBlock,Armor,CooldownReduction,AbilityHaste",15.19.1
2503,Blackfire Torch,黑焰火炬,"SpellDamage,Mana,CooldownReduction,AbilityHaste",15.19.1
2504,Kaenic Rookern,凱尼克欺瞞者,"Health,SpellBlock,HealthRegen",15.19.1
2508,Fated Ashes,命定灰燼,SpellDamage,15.19.1
3001,Evenshroud,均等法衣,"Health,SpellBlock,Armor,AbilityHaste",15.19.1
3002,Trailblazer,開拓者,"Health,Armor,NonbootsMovement",15.19.1
3003,Archangel's Staff,大天使之杖,"SpellDamage,Mana,AbilityHaste",15.19.1
3004,Manamune,魔劍正宗,"Damage,Mana,CooldownReduction,OnHit,AbilityHaste",15.19.1
3005,Ghostcrawlers,鬼蟹,Boots,15.19.1
3006,Berserker's Greaves,狂戰士護脛,"AttackSpeed,Boots",15.19.1
3009,Boots of Swiftness,輕靈之靴,Boots,15.19.1
3010,Symbiotic Soles,共生之足,Boots,15.19.1
3011,Chemtech Putrifier,生化科技腐化器,"SpellDamage,ManaRegen,AbilityHaste",15.19.1
3012,Chalice of Blessing,祝福聖杯,"Health,ManaRegen",15.19.1
3013,Synchronized Souls,靈魂同步,Boots,15.19.1
3020,Sorcerer's Shoes,法師之靴,"Boots,MagicPenetration",15.19.1
3023,Lifewell Pendant,命源墜飾,"Health,Armor,AbilityHaste",15.19.1
3024,Glacial Buckler,冰川圓盾,"Armor,Mana,CooldownReduction,AbilityHaste",15.19.1
3026,Guardian Angel,守護天使,"Armor,Damage",15.19.1
3031,Infinity Edge,無盡之刃,"CriticalStrike,Damage",15.19.1
3032,Yun Tal Wildarrows,雲陶狂箭,"Damage,CriticalStrike,AttackSpeed",15.19.1
3033,Mortal Reminder,致死宣告,"Damage,CriticalStrike,ArmorPenetration",15.19.1
3035,Last Whisper,最後耳語,"ArmorPenetration,Damage",15.19.1
3036,Lord Dominik's Regards,多明尼克的問候,"Damage,CriticalStrike,ArmorPenetration",15.19.1
3039,Atma's Reckoning,終末戰戟,"SpellBlock,Armor,Damage,Lane",15.19.1
3040,Seraph's Embrace,熾天使的擁抱,"SpellDamage,Mana,AbilityHaste",15.19.1
3041,Mejai's Soulstealer,靈魂竊取者,"Health,SpellDamage,NonbootsMovement",15.19.1
3042,Muramana,終極魔劍,"Damage,Mana,CooldownReduction,OnHit,ArmorPenetration",15.19.1
3044,Phage,淨蝕之槌,"Health,Damage,NonbootsMovement",15.19.1
3046,Phantom Dancer,幻影之舞,"CriticalStrike,AttackSpeed,NonbootsMovement",15.19.1
3047,Plated Steelcaps,鍍板鋼蓋,"Armor,Boots",15.19.1
3050,Zeke's Convergence,錫柯的聚合之力,"Health,SpellBlock,Armor,AbilityHaste",15.19.1
3051,Hearthbound Axe,爐縛之斧,"Damage,AttackSpeed",15.19.1
3053,Sterak's Gage,史特拉克手套,"Health,Damage,Tenacity",15.19.1
3057,Sheen,閃耀劍,"OnHit,AbilityHaste",15.19.1
3065,Spirit Visage,振奮盔甲,"Health,SpellBlock,HealthRegen,CooldownReduction,AbilityHaste",15.19.1
3066,Winged Moonplate,飛翼月甲,"Health,NonbootsMovement",15.19.1
3067,Kindlegem,燃燒寶石,"Health,CooldownReduction,AbilityHaste",15.19.1
3068,Sunfire Aegis,日炎聖盾,"Health,Armor,Aura,AbilityHaste",15.19.1
3070,Tear of the Goddess,女神之淚,"Mana,ManaRegen",15.19.1
3071,Black Cleaver,黑色切割者,"Health,Damage,CooldownReduction,OnHit,NonbootsMovement,ArmorPenetration,AbilityHaste",15.19.1
3072,Bloodthirster,嗜血者,"Damage,LifeSteal",15.19.1
3073,Experimental Hexplate,實驗型海克斯板甲,"Health,Damage,AttackSpeed,CooldownReduction,NonbootsMovement,AbilityHaste",15.19.1
3074,Ravenous Hydra,狂怒九頭蛇,"Damage,LifeSteal,CooldownReduction,OnHit,AbilityHaste",15.19.1
3075,Thornmail,荊棘之甲,"Health,Armor",15.19.1
3076,Bramble Vest,刺藤胸甲,Armor,15.19.1
3077,Tiamat,海神之斧,"Damage,OnHit",15.19.1
3078,Trinity Force,三相之力,"Health,Damage,AttackSpeed,CooldownReduction,OnHit,NonbootsMovement,AbilityHaste",15.19.1
3082,Warden's Mail,守望者鎧甲,Armor,15.19.1
3083,Warmog's Armor,好戰者鎧甲,"Health,HealthRegen",15.19.1
3084,Heartsteel,雄心之鋼,"Health,HealthRegen",15.19.1
3085,Runaan's Hurricane,芮蘭颶風箭,"CriticalStrike,AttackSpeed,OnHit,NonbootsMovement",15.19.1
3086,Zeal,狂熱雙刀,"CriticalStrike,AttackSpeed,NonbootsMovement",15.19.1
3087,Statikk Shiv,史提克彈簧刀,"Damage,AttackSpeed,OnHit,NonbootsMovement",15.19.1
3089,Rabadon's Deathcap,死亡之帽,SpellDamage,15.19.1
3091,Wit's End,智慧末刃,"SpellBlock,AttackSpeed,OnHit,Tenacity",15.19.1
3094,Rapid Firecannon,衝擊火炮,"CriticalStrike,AttackSpeed,NonbootsMovement",15.19.1
3095,Stormrazor,狂暴利刃,"Damage,CriticalStrike",15.19.1
3100,Lich Bane,巫妖之禍,"SpellDamage,OnHit,NonbootsMovement,AbilityHaste",15.19.1
3102,Banshee's Veil,女妖面紗,"SpellBlock,SpellDamage",15.19.1
3105,Aegis of the Legion,軍團聖盾,"SpellBlock,Armor,CooldownReduction,AbilityHaste",15.19.1
3107,Redemption,贖罪神石,"Health,ManaRegen,CooldownReduction,AbilityHaste",15.19.1
3108,Fiendish Codex,惡魔法典,"SpellDamage,CooldownReduction,AbilityHaste",15.19.1
3109,Knight's Vow,騎士誓願,"Health,HealthRegen,Armor,Aura,Active,CooldownReduction,AbilityHaste",15.19.1
3110,Frozen Heart,冰霜之心,"Armor,Mana,Aura,CooldownReduction,AbilityHaste",15.19.1
3111,Mercury's Treads,水星之靴,"Boots,SpellBlock,Tenacity",15.19.1
3112,Guardian's Orb,保衛者冰玉,"Health,SpellDamage,ManaRegen,Lane",15.19.1
3113,Aether Wisp,蒼穹神火,"NonbootsMovement,SpellDamage",15.19.1
3114,Forbidden Idol,禁忌之像,ManaRegen,15.19.1
3115,Nashor's Tooth,納什之牙,"AttackSpeed,SpellDamage,OnHit,AbilityHaste",15.19.1
3116,Rylai's Crystal Scepter,瑞萊的冰晶節杖,"Health,SpellDamage,Slow",15.19.1
3117,Mobility Boots,疾行之靴,Boots,15.19.1
3118,Malignance,惡意,"SpellDamage,Mana,AbilityHaste",15.19.1
3119,Winter's Approach,凜冬將至,"Health,Mana,AbilityHaste",15.19.1
3121,Fimbulwinter,芬布爾之冬,"Health,Mana,AbilityHaste",15.19.1
3123,Executioner's Calling,死刑宣告,Damage,15.19.1
3124,Guinsoo's Rageblade,鬼索的狂暴之刃,"Damage,AttackSpeed,SpellDamage,OnHit",15.19.1
3128,Deathfire Grasp,冥火之擁,"SpellDamage,CooldownReduction",15.19.1
3131,Sword of the Divine,神聖之劍,"Damage,CriticalStrike,AttackSpeed",15.19.1
3133,Caulfield's Warhammer,考菲爾德的戰槌,"Damage,CooldownReduction,AbilityHaste",15.19.1
3134,Serrated Dirk,殘暴之力,"Damage,ArmorPenetration",15.19.1
3135,Void Staff,虛空之杖,"MagicPenetration,SpellDamage",15.19.1
3137,Cryptbloom,死墓之花,"SpellDamage,MagicPenetration,AbilityHaste",15.19.1
3139,Mercurial Scimitar,水星彎刀,"SpellBlock,Damage,LifeSteal,Active,NonbootsMovement,Tenacity",15.19.1
